34634;18.05.2023;;2;764589
36011;13.11.2023;;4;810684
35698;06.10.2023;;4;806066
35582;20.09.2023;;4;804873
35597;25.09.2023;;4;804759
35679;05.10.2023;;4;804747
35571;21.09.2023;;4;804388
35630;28.09.2023;;4;804386
35579;22.09.2023;;4;804382
35614;26.09.2023;;4;804340
35541;18.09.2023;;2;804102
35557;20.09.2023;;4;804102
35530;15.09.2023;;4;803888
35883;31.10.2023;;4;803870
35505;12.09.2023;;4;803834
35224;08.08.2023;;4;800199
36220;04.12.2023;;2;814387
36204;01.12.2023;;4;814089
36209;04.12.2023;;2;814003
36199;30.11.2023;;2;813967
35648;02.10.2023;;2;802178
36331;14.12.2023;;4;815695
36363;18.12.2023;;2;815694
35873;30.10.2023;;4;808895
35822;24.10.2023;;4;808560
35629;28.09.2023;;2;805506
35928;02.11.2023;;4;805506
35634;29.09.2023;;2;805500
35874;30.10.2023;;4;805500
35503;11.09.2023;;2;803802
35373;28.08.2023;;2;801713
35341;23.08.2023;;4;801247
35313;21.08.2023;;4;800590
35359;25.08.2023;;2;800590
36188;27.11.2023;;4;813537
36197;29.11.2023;;2;813498
35809;20.10.2023;;4;808005
36006;15.11.2023;;2;807972
36068;16.11.2023;;4;807972
36194;29.11.2023;;2;807690
35823;24.10.2023;;4;807663
35826;25.10.2023;;2;807663
35506;12.09.2023;;4;803510
35819;23.10.2023;;2;807350
35773;16.10.2023;;2;806448
35818;23.10.2023;;2;806240
35172;03.08.2023;;2;799554
36283;10.12.2023;;4;815204
36284;11.12.2023;;2;815204
36296;12.12.2023;;4;815189
36364;18.12.2023;;2;815181
36271;08.12.2023;;2;815162
36318;13.12.2023;;2;814918
36317;13.12.2023;;2;814916
35868;30.10.2023;;2;805681
35846;27.10.2023;;4;805679
35650;29.09.2023;;4;805471
35762;16.10.2023;;2;807017
35584;24.09.2023;;4;802329
35693;06.10.2023;;2;802329
35061;21.07.2023;;4;798277
35109;27.07.2023;;2;798273
35063;21.07.2023;;4;798240
35062;21.07.2023;;2;798205
36323;12.12.2023;;2;810607
36191;28.11.2023;;4;813555
36217;04.12.2023;;2;813037
35521;13.09.2023;;2;803663
35824;25.10.2023;;2;808266
36308;13.12.2023;;4;815497
36307;12.12.2023;;4;815493
35972;09.11.2023;;4;810414
35952;08.11.2023;;4;810412
35958;08.11.2023;;4;810411
35954;08.11.2023;;4;810410
35624;27.09.2023;;2;805055
35625;27.09.2023;;4;805055
35750;12.10.2023;;2;805054
35158;01.08.2023;;2;799592
35646;02.10.2023;;4;799592
35556;19.09.2023;;2;802903
36344;15.12.2023;;4;815780
36354;15.12.2023;;4;815776
36321;14.12.2023;;4;815738
36339;15.12.2023;;4;815721
35310;20.08.2023;;4;801222
35485;08.09.2023;;4;103931
35347;23.08.2023;;4;801144
35291;01.08.2023;;2;800837
36016;13.11.2023;;4;811104
35049;19.07.2023;;4;796585
36375;19.12.2023;;4;816344
35268;15.08.2023;;4;800502
36162;23.11.2023;;2;813327
36167;24.11.2023;;2;813314
35284;16.08.2023;;4;800740
36225;05.12.2023;;4;814025
36203;01.12.2023;;4;813626
35950;08.11.2023;;4;808717
35866;30.10.2023;;4;808716
